word,frequency
loovana,13.0
shine,13.0
ended,13.0
taste,13.0
blood,13.0
wrote,13.0
(and,13.0
gold,13.0
taught,13.0
inspiring,13.0
calm,13.0
9,13.0
outstanding,13.0
ost_,13.0
smart,13.0
loud,13.0
tons,13.0
langliligaya,13.0
dem,13.0
mask,13.0
prayer,13.0
passion,13.0
showing,13.0
fast,13.0
$299,13.0
wife,13.0
scream,13.0
nearly,13.0
motivation,13.0
evening,13.0
updates,13.0
places,13.0
ghazals,13.0
aware,13.0
ft,13.0
links,13.0
field,13.0
@call_me_oke,13.0
@mhizz_joy,13.0
al,13.0
lil,13.0
view,13.0
youth,13.0
husband,13.0
_imyour_joy,13.0
neither,13.0
available,13.0
sitting,13.0
generation,13.0
awareness,13.0
@lindseygrahamsc,13.0
lover,13.0
wishingyou,13.0
usually,13.0
ball,13.0
shame,13.0
worked,13.0
thou,13.0
ending,13.0
sit,13.0
cooking,13.0
soft,13.0
'i,13.0
bunch,13.0
teacher,13.0
meeting,13.0
loss,13.0
insta,13.0
history,13.0
seconds,13.0
virtual,13.0
excellent,13.0
flow,13.0
secret,13.0
@stevescully,13.0
psycho3,13.0
ruin,13.0
christian,13.0
telling,13.0
letting,13.0
almighty,13.0
failed,13.0
process,13.0
save,12.0
@billmorgansam,12.0
-hac-001(-01),12.0
road,12.0
election,12.0
ashes,12.0
we'll,12.0
taehyung,12.0
closer,12.0
hospital,12.0
@joy_and_fun,12.0
keeps,12.0
bullshit,12.0
beloved,12.0
onto,12.0
visit,12.0
nigerians,12.0
genuine,12.0
joy*,12.0
happening,12.0
abeg,12.0
yea,12.0
powerful,12.0
me:,12.0
control,12.0
rip,12.0
american,12.0
extremely,12.0
drink,12.0
brain,12.0
bible,12.0
lsf,12.0
successful,12.0
chris,12.0
whats,12.0
jack,12.0
wey,12.0
ho,12.0
player,12.0
drop,12.0
model,12.0
breaks,12.0
beginning,12.0
passed,12.0
near,12.0
experiences,12.0
fruit,12.0
spring,12.0
co/t8mvlmrsvf,12.0
sweetest,12.0
physical,12.0
today's,12.0
singh,12.0
unto,12.0
marriage,12.0
giveaway,12.0
souls,12.0
prepared,12.0
oo,12.0
erica,12.0
heal,12.0
joke,12.0
treat,12.0
image,12.0
minds,12.0
remind,12.0
reply,12.0
suddenly,12.0
